aa	林
su	规
su;	姊
sv	夫
sv;	舍
sw	创
sw;	怒
sx	妈
sx;	姨
sy	好
sy;	灵
sz	余
sz;	途
ta	采
ta;	彩
tb	陵
tb;	奚
tc	霆
tc;	爲
td	际
td;	赘
te	院
te;	爬
tf	雨
tf;	陌
tg	爱
tg;	随
th	剑
th;	陛
ti	合
ti;	命
tj	阳
tj;	配
tk	金
tk;	附
tl	陈
tl;	退
tm	防
tm;	阴
tn	领
tn;	令
to	更
to;	爪
tp	今
tp;	念
tq	句
tq;	震
tr	隐
tr;	阻
ts	队
ts;	除
tt	限
tt;	险
tu	需
tu;	既
tv	霍
tv;	隧
tw	受
tw;	即
tx	够
tx;	醋
ty	阵
ty;	陪
tz	阿
tz;	酥
ua	而
ua;	困
ub	率
ub;	玄
uc	黑
uc;	跃
ud	费
ud;	帕
ue	无
ue;	缺
uf	感
uf;	威
ug	团
ug;	跋
uh	束
uh;	踏
ui	回
ui;	圆
uj	图
uj;	帽
uk	夜
uk;	顶
ul	速
ul;	默
um	踞
um;	蹂
un	缸
un;	踊
uo	离
uo;	踉
up	成
up;	盛
uq	路
uq;	围
ur	整
ur;	园
us	跑
us;	耍
ut	跟
ut;	踩
uu	市
uu;	颤
uv	建
uv;	圈
uw	见
uw;	巾
ux	因
ux;	恩
uy	变
uy;	亦
uz	足
uz;	踌
va	集
va;	谙
vb	讲
vb;	诗
vc	道
vc;	首
vd	让
vd;	祭
ve	登
ve;	谊
vf	证
vf;	兮
vg	计
vg;	读
vh	论
vh;	谐
vi	总
vi;	识
vj	记
vj;	曾
vk	分
vk;	贫
vl	许
vl;	适
vm	前
vm;	谋
vn	公
vn;	试
vo	议
vo;	父
vp	半
vp;	乱
vq	设
vq;	兰
vr	敌
vr;	诸
vs	认
vs;	单
vt	尊
vt;	遵
vu	弟
vu;	诚
vv	话
vv;	谁
vw	并
vw;	诺
vx	关
vx;	送
vy	八
vy;	该
vz	请
vz;	调
wa	苏
wa;	劝
wb	圣
wb;	菱
wc	薛
wc;	孽
wd	岛
wd;	菲
we	营
we;	劳
wf	卫
wf;	欢
wg	若
wg;	惹
wh	落
wh;	范
wi	又
wi;	戏
wj	草
wj;	莫
wk	花
wk;	刘
wl	对
wl;	获
wm	文
wm;	芳
wn	高
wn;	蒋
wo	就
wo;	京
wp	象
wp;	亮
wq	苦
wq;	葬
wr	药
wr;	著
ws	茶
ws;	苍
wt	警
wt;	萨
wu	观
wu;	藏
wv	难
wv;	蔡
ww	双
ww;	节
wx	荒
wx;	芒
wy	熟
wy;	享
wz	英
wz;	莉
xa	党
xa;	棠
xb	堂
xb;	奎
xc	亡
xc;	骄
xd	外
xd;	赏
xe	疾
xe;	驱
xf	病
xf;	疗
xg	奔
xg;	盲
xh	马
xh;	驰
xi	名
xi;	燕
xj	入
xj;	疼
xk	长
xk;	廿
xl	达
xl;	夺
xm	望
xm;	散
xn	痛
xn;	忘
xo	太
xo;	态
xp	世
xp;	掌
xq	疫
xq;	骤
xr	夸
xr;	奢
xs	套
xs;	奋
xt	验
xt;	痕
xu	常
xu;	夕
xv	共
xv;	恭
xw	怨
xw;	瘦
xx	多
xx;	骑
xy	尚
xy;	骇
xz	奇
xz;	痢
ya	新
ya;	亲
yb	牙
yb;	罢
yc	较
yc;	轿
yd	站
yd;	罪
ye	帝
ye;	旁
yf	车
yf;	软
yg	置
yg;	辅
yh	轮
yh;	徽
yi	部
yi;	竞
yj	爆
yj;	竭
yk	刻
yk;	烦
yl	连
yl;	炼
ym	燃
ym;	煤
yn	烁
yn;	轼
yo	产
yo;	孙
yp	微
yp;	孔
yq	立
yq;	孤
yr	转
yr;	署
ys	炮
ys;	蜀
yt	四
yt;	输
yu	烟
yu;	灯
yv	火
yv;	雅
yw	轻
yw;	轰
yx	罗
yx;	逻
yy	孩
yy;	炎
yz	商
yz;	靖
za	种
za;	策
zb	等
zb;	周
zc	笑
zc;	窗
zd	究
zd;	责
ze	管
ze;	窄
zf	同
zf;	篇
zg	算
zg;	稽
zh	素
zh;	丰
zi	程
zi;	积
zj	可
zj;	香
zk	利
zk;	符
zl	突
zl;	寿
zm	青
zm;	静
zn	空
zn;	秘
zo	表
zo;	刚
zp	科
zp;	秃
zq	毒
zq;	砉
zr	称
zr;	稳
zs	内
zs;	委
zt	答
zt;	帮
zu	第
zu;	丹
zv	税
zv;	透
zw	稿
zw;	篙
zx	移
zx;	央
zy	穿
zy;	秋
zz	哥
zz;	歌
