gm	有
hk	梁
qc	殊
rx	骂
wx	荒
jy	曼
tv	霍
kp	俗
qx	码
rb	壁
de	崇
dq	岩
bz	井
bd	埋
cd	乏
ym	燃
iz	呵
xw	怨
ax	椅
ex	寄
wc	薛
se	辉
nu	恼
zw	稿
my	粒
qs	趁
om	削
tb	陵
xr	夸
ft	卿
xq	疫
dc	卑
ny	愣
dv	禅
dt	岭
br	堵
cq	镖
cp	鹅
bf	坎
rc	绞
tc	霆
yn	烁
un	缸
bt	垣
qz	殃
ce	锭
um	踞
